ticket	name	industry	price
FRC^C	FIRST REPUBLIC BANK	n/a	$24.31
HOG	Harley-Davidson, Inc.	Motor Vehicles	$20.09
ONSIZ	Oncobiologics, Inc.	Biotechnology: Biological Products (No Diagnostic Substances)	$49.21
AMX	America Movil, S.A.B. de C.V.	Telecommunications Equipment	$33.96
MDWD	MediWound Ltd.	Specialty Chemicals	$49.83
JBLU	JetBlue Airways Corporation	Air Freight/Delivery Services	$28.50
DIAX	Nuveen Dow 30SM Dynamic Overwrite Fund	n/a	$20.78
DDBI	Legg Mason Developed EX-US Diversified Core ETF	n/a	$35.97
NEWTZ	Newtek Business Services Corp.	n/a	$10.11
GNMA	iShares GNMA Bond ETF	n/a	$33.81
EOD	Wells Fargo Global Dividend Opportunity Fund	n/a	$27.97
UVSP	Univest Corporation of Pennsylvania	Major Banks	$39.02
AZRX	AzurRx BioPharma, Inc.	n/a	$18.17
VUZI	Vuzix Corporation	Radio And Television Broadcasting And Communications Equipment	$38.44
FCAU	Fiat Chrysler Automobiles N.V.	Auto Manufacturing	$14.81
INSW	International Seaways, Inc.	Marine Transportation	$40.58
PYPL	PayPal Holdings, Inc.	Business Services	$25.69
NGHCP	National General Holdings Corp	Property-Casualty Insurers	$16.55
AQXP	Aquinox Pharmaceuticals, Inc.	Major Pharmaceuticals	$16.77
FONR	Fonar Corporation	Biotechnology: Electromedical & Electrotherapeutic Apparatus	$27.96
TAPR	Barclays Inverse US Treasury Composite ETN	Commercial Banks	$16.18
DM	Dominion Energy Midstream Partners, LP	Natural Gas Distribution	$33.63
HFBL	Home Federal Bancorp, Inc. of Louisiana	Savings Institutions	$46.87
JBSS	John B. Sanfilippo & Son, Inc.	Specialty Foods	$24.09
FUNC	First United Corporation	Major Banks	$15.14
IBCP	Independent Bank Corporation	Major Banks	$17.72
TPIV	TapImmune Inc.	Major Pharmaceuticals	$24.05
ESTE	Earthstone Energy, Inc.	Oil & Gas Production	$39.50
GBLIL	Global Indemnity Limited	Property-Casualty Insurers	$32.54
BLX	Banco Latinoamericano de Comercio Exterior, S.A.	Commercial Banks	$17.78
LTRPA	Liberty TripAdvisor Holdings, Inc.	EDP Services	$10.41
PRSS	CafePress Inc.	Other Specialty Stores	$47.32
XNET	Xunlei Limited	Computer Software: Prepackaged Software	$34.69
SCE^J	Southern California Edison Company	n/a	$46.52
CPTAL	Capitala Finance Corp.	n/a	$20.01
DRE	Duke Realty Corporation	Real Estate Investment Trusts	$10.72
HMNY	Helios and Matheson Analytics Inc	Other Consumer Services	$37.86
CBL^E	CBL & Associates Properties, Inc.	n/a	$29.78
TCBIP	Texas Capital Bancshares, Inc.	Major Banks	$47.79
CHSP	Chesapeake Lodging Trust	Real Estate Investment Trusts	$18.13
UA	Under Armour, Inc.	Apparel	$29.88
UBNK	United Financial Bancorp, Inc. 	Banks	$28.54
SNGX	Soligenix, Inc.	Major Pharmaceuticals	$28.73
KCAP	KCAP Financial, Inc.	n/a	$19.77
PSCD	PowerShares S&P SmallCap Consumer Discretionary Portfolio	n/a	$12.82
AXAR	Axar Acquisition Corp.	Business Services	$45.92
NATI	National Instruments Corporation	Computer Software: Prepackaged Software	$35.49
EROS	Eros International PLC	Movies/Entertainment	$43.34
ABTX	Allegiance Bancshares, Inc.	Major Banks	$27.01
NORD	Nord Anglia Education, Inc.	Other Consumer Services	$18.76
BIG	Big Lots, Inc.	Department/Specialty Retail Stores	$30.39
DFT^C	Dupont Fabros Technology, Inc.	n/a	$19.89
MAN	ManpowerGroup	Professional Services	$27.27
HBNC	Horizon Bancorp (IN)	Major Banks	$43.24
ECA	Encana Corporation	Oil & Gas Production	$40.04
CTMX	CytomX Therapeutics, Inc.	Major Pharmaceuticals	$47.23
PPX	PPL Capital Funding, Inc.	Electric Utilities: Central	$20.50
UCP	UCP, Inc.	Homebuilding	$35.56
ORAN	Orange	Telecommunications Equipment	$10.49
MAYS	J. W. Mays, Inc.	Building operators	$22.02
HBM.WS	Hudbay Minerals Inc.	n/a	$38.27
TCBK	TriCo Bancshares	Major Banks	$16.86
NEV	Nuveen Enhanced Municipal Value Fund	n/a	$43.82
APOPW	Cellect Biotechnology Ltd.	n/a	$25.41
EVC	Entravision Communications Corporation	Broadcasting	$32.25
LN	LINE Corporation	Computer Software: Programming, Data Processing	$28.73
ABTL	Autobytel Inc.	Computer Software: Programming, Data Processing	$29.22
PSMT	PriceSmart, Inc.	Department/Specialty Retail Stores	$19.25
DMLP	Dorchester Minerals, L.P.	Oil & Gas Production	$11.39
KYN	Kayne Anderson MLP Investment Company	n/a	$16.06
AJXA	Great Ajax Corp.	Real Estate Investment Trusts	$12.08
ATVI	Activision Blizzard, Inc	Computer Software: Prepackaged Software	$35.79
IBUY	Amplify Online Retail ETF	n/a	$24.94
SCHL	Scholastic Corporation	Books	$17.58
PNC^P	PNC Financial Services Group, Inc. (The)	n/a	$49.99
ADES	Advanced Emissions Solutions, Inc.	Major Chemicals	$40.44
MYJ	Blackrock MuniYield New Jersey Fund, Inc.	n/a	$16.02
PUK^A	Prudential Public Limited Company	n/a	$10.27
FSM	Fortuna Silver Mines Inc.	Precious Metals	$19.62
ICAD	icad inc.	Medical/Dental Instruments	$39.15
OCFC	OceanFirst Financial Corp.	Savings Institutions	$12.59
ICHR	Ichor Holdings	Semiconductors	$15.97
HYXE	iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF	n/a	$40.26
PPHM	Peregrine Pharmaceuticals Inc.	Major Pharmaceuticals	$34.57
DFS^B	Discover Financial Services	n/a	$32.63
SSFN	Stewardship Financial Corp	Major Banks	$23.18
CGO	Calamos Global Total Return Fund	n/a	$35.09
HFWA	Heritage Financial Corporation	Banks	$47.39
CHE	Chemed Corp.	Medical/Nursing Services	$39.83
SIRI	Sirius XM Holdings Inc.	Broadcasting	$17.07
SNAP	Snap Inc.	Computer Software: Programming, Data Processing	$35.66
MRC	MRC Global Inc.	Industrial Machinery/Components	$33.63
SIMO	Silicon Motion Technology Corporation	Semiconductors	$42.96
CORI	Corium International, Inc.	Major Pharmaceuticals	$37.67
VJET	voxeljet AG	Industrial Machinery/Components	$31.73
BCH	Banco De Chile	Commercial Banks	$12.38
NUW	Nuveen AMT-Free Municipal Value Fund	n/a	$18.30
XEC	Cimarex Energy Co	Oil & Gas Production	$39.07
NSS	NuStar Logistics, L.P.	Natural Gas Distribution	$11.48
LECO	Lincoln Electric Holdings, Inc.	Industrial Machinery/Components	$39.27
NCS	NCI Building Systems, Inc.	Metal Fabrications	$30.76
ORIG	Ocean Rig UDW Inc.	Oil & Gas Production	$10.32
SBOW	SilverBow Resorces, Inc.	Oil & Gas Production	$20.51
BKU	BankUnited, Inc.	Savings Institutions	$17.18
VTRB	Ventas Realty, Limited Partnership // Ventas Capital Corporati	Real Estate Investment Trusts	$36.76
KTOS	Kratos Defense & Security Solutions, Inc.	Military/Government/Technical	$19.18
BIOC	Biocept, Inc.	Medical Specialities	$35.05
BMI	Badger Meter, Inc.	Industrial Machinery/Components	$11.91
ELJ	Entergy Louisiana, Inc.	Electric Utilities: Central	$10.57
GBLIZ	Global Indemnity Limited	Property-Casualty Insurers	$30.35
SGRY	Surgery Partners, Inc.	Hospital/Nursing Management	$47.94
AXAR	Axar Acquisition Corp.	Business Services	$35.99
KAR	KAR Auction Services, Inc	Automotive Aftermarket	$37.73
AMBA	Ambarella, Inc.	Semiconductors	$17.61
DSKE	Daseke, Inc.	Transportation Services	$19.53
KEG	Key Energy Services, Inc.	Oilfield Services/Equipment	$14.82
VREX	Varex Imaging Corporation	Industrial Machinery/Components	$39.85
AGO^B	Assured Guaranty Ltd.	n/a	$33.54
BXS	BancorpSouth, Inc.	Major Banks	$32.16
QTWO	Q2 Holdings, Inc.	Computer Software: Prepackaged Software	$10.47
FDEF	First Defiance Financial Corp.	Savings Institutions	$14.66
TRUP	Trupanion, Inc.	Medical Specialities	$49.79
BGCA	BGC Partners, Inc.	Investment Bankers/Brokers/Service	$32.83
CUZ	Cousins Properties Incorporated	Real Estate Investment Trusts	$49.32
AFSD	Aflac Incorporated	Accident &Health Insurance	$20.71
QRVO	Qorvo, Inc.	Semiconductors	$17.68
FND	Floor & Decor Holdings, Inc.	RETAIL: Building Materials	$37.89
BT	BT Group plc	Telecommunications Equipment	$41.10
AAXJ	iShares MSCI All Country Asia ex Japan Index Fund	n/a	$22.32
EDBI	Legg Mason Emerging Markets Diversified Core ETF	n/a	$27.92
SMCI	Super Micro Computer, Inc.	Computer Manufacturing	$27.23
KEYW	The KEYW Holding Corporation	EDP Services	$29.50
MIND	Mitcham Industries, Inc.	Diversified Commercial Services	$32.86
BKHU	Black Hills Corporation	Electric Utilities: Central	$40.19
ORN	Orion Group Holdings, Inc.	Military/Government/Technical	$16.01
GNBC	Green Bancorp, Inc.	Major Banks	$44.79
EDF	Stone Harbor Emerging Markets Income Fund	n/a	$47.18
PEBO	Peoples Bancorp Inc.	Major Banks	$20.65
TUTI	Tuttle Tactical Management Multi-Strategy Income ETF	n/a	$18.17
FMSA	Fairmount Santrol Holdings Inc.	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	$23.40
NJR	NewJersey Resources Corporation	Oil/Gas Transmission	$26.33
HBI	Hanesbrands Inc.	Clothing/Shoe/Accessory Stores	$17.18
AFGE	American Financial Group, Inc.	Property-Casualty Insurers	$36.18
KTCC	Key Tronic Corporation	Computer peripheral equipment	$17.91
KINS	Kingstone Companies, Inc	Property-Casualty Insurers	$21.70
LEO	Dreyfus Strategic Municipals, Inc.	n/a	$44.46
ALE	Allete, Inc.	Power Generation	$30.87
HTH	Hilltop Holdings Inc.	Major Banks	$14.58
ODFL	Old Dominion Freight Line, Inc.	Trucking Freight/Courier Services	$24.78
LRGE	ClearBridge Large Cap Growth ESG ETF	n/a	$33.79
MTR	Mesa Royalty Trust	Oil & Gas Production	$32.40
DFP	Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.	n/a	$28.80
CTLT	Catalent, Inc.	Major Pharmaceuticals	$11.17
COST	Costco Wholesale Corporation	Department/Specialty Retail Stores	$22.84
VSAR	Versartis, Inc.	Major Pharmaceuticals	$30.06
FPT	Federated Premier Intermediate Municipal Income Fund	n/a	$16.02
ALDX	Aldeyra Therapeutics, Inc.	Major Pharmaceuticals	$25.09
CHDN	Churchill Downs, Incorporated	Services-Misc. Amusement & Recreation	$21.49
DST	DST Systems, Inc.	EDP Services	$37.22
CJ	C	Oilfield Services/Equipment	$38.43
SMHI	SEACOR Marine Holdings Inc.	Marine Transportation	$42.52
EYESW	Second Sight Medical Products, Inc.	Biotechnology: Electromedical & Electrotherapeutic Apparatus	$43.88
AQXP	Aquinox Pharmaceuticals, Inc.	Major Pharmaceuticals	$25.35
ABEV	Ambev S.A.	Beverages (Production/Distribution)	$28.28
ZTS	Zoetis Inc.	Major Pharmaceuticals	$23.52
PVBC	Provident Bancorp, Inc.	Savings Institutions	$10.66
OSTK	Overstock.com, Inc.	Catalog/Specialty Distribution	$28.07
WHLM	Wilhelmina International, Inc.	Professional Services	$10.76
CVE	Cenovus Energy Inc	Oil & Gas Production	$48.30
MACK	Merrimack Pharmaceuticals, Inc.	Major Pharmaceuticals	$44.99
MEI	Methode Electronics, Inc.	Electrical Products	$31.35
ELOS	Syneron Medical Ltd.	Biotechnology: Electromedical & Electrotherapeutic Apparatus	$22.90
ABCB	Ameris Bancorp	Major Banks	$42.20
CSBR	Champions Oncology, Inc.	Biotechnology: Biological Products (No Diagnostic Substances)	$17.93
STNG	Scorpio Tankers Inc.	Marine Transportation	$41.87
MGNX	MacroGenics, Inc.	Major Pharmaceuticals	$38.03
NSA	National Storage Affiliates Trust	Real Estate Investment Trusts	$44.47
NWY	New York & Company, Inc.	Clothing/Shoe/Accessory Stores	$48.95
ICLN	iShares S&P Global Clean Energy Index Fund	n/a	$13.94
AMH	American Homes 4 Rent	Real Estate Investment Trusts	$26.30
HFBC	HopFed Bancorp, Inc.	Major Banks	$35.56
TXRH	Texas Roadhouse, Inc.	Restaurants	$22.55
MDT	Medtronic plc	Biotechnology: Electromedical & Electrotherapeutic Apparatus	$48.40
KRC	Kilroy Realty Corporation	Real Estate Investment Trusts	$30.75
VIRC	Virco Manufacturing Corporation	Industrial Specialties	$47.76
WPT	World Point Terminals, LP	Oil Refining/Marketing	$27.05
MUR	Murphy Oil Corporation	Oil & Gas Production	$21.51
MARA	Marathon Patent Group, Inc.	Multi-Sector Companies	$19.98
CLSN	Celsion Corporation	Major Pharmaceuticals	$41.69
AMZN	Amazon.com, Inc.	Catalog/Specialty Distribution	$13.02
CBI	Chicago Bridge & Iron Company N.V.	Engineering & Construction	$37.72
RDWR	Radware Ltd.	Business Services	$14.60
PEIX	Pacific Ethanol, Inc.	Major Chemicals	$41.75
XELB	Xcel Brands, Inc	Multi-Sector Companies	$30.50
SLCT	Select Bancorp, Inc.	Major Banks	$31.48
NYMX	Nymox Pharmaceutical Corporation	Biotechnology: In Vitro & In Vivo Diagnostic Substances	$45.22
THQ	Tekla Healthcare Opportunies Fund	n/a	$23.56
TTWO	Take-Two Interactive Software, Inc.	Computer Software: Prepackaged Software	$28.63
TARO	Taro Pharmaceutical Industries Ltd.	Major Pharmaceuticals	$35.48
JMPC	JMP Group LLC	Investment Bankers/Brokers/Service	$32.17
ATU	Actuant Corporation	Industrial Machinery/Components	$33.12
KEM	Kemet Corporation	Electrical Products	$42.60
PCTY	Paylocity Holding Corporation	Computer Software: Prepackaged Software	$44.16
KIM	Kimco Realty Corporation	Real Estate Investment Trusts	$21.40
MULE	MuleSoft, Inc.	Computer Software: Prepackaged Software	$27.52
WHF	WhiteHorse Finance, Inc.	n/a	$21.45
FRT	Federal Realty Investment Trust	Real Estate Investment Trusts	$25.53
DTRM	Determine, Inc. 	Computer Software: Prepackaged Software	$47.76
GIGA	Giga-tronics Incorporated	Electrical Products	$20.74
ETE	Energy Transfer Equity, L.P.	Natural Gas Distribution	$36.29
AEE	Ameren Corporation	Power Generation	$46.34
PJC	Piper Jaffray Companies	Investment Bankers/Brokers/Service	$16.62
ESPR	Esperion Therapeutics, Inc.	Major Pharmaceuticals	$43.74
IDSY	I.D. Systems, Inc.	Telecommunications Equipment	$25.77
LOW	Lowe's Companies, Inc.	RETAIL: Building Materials	$21.79
OPXAW	Opexa Therapeutics, Inc.	Major Pharmaceuticals	$22.64
AOS	Smith (A.O.) Corporation	Consumer Electronics/Appliances	$30.74
FTAI	Fortress Transportation and Infrastructure Investors LLC	n/a	$30.07
ISM	Navient Corporation	Finance: Consumer Services	$14.41
CW	Curtiss-Wright Corporation	Industrial Machinery/Components	$47.11
CALI	China Auto Logistics Inc.	Motor Vehicles	$47.73
ADRD	BLDRS Developed Markets 100 ADR Index Fund	n/a	$32.68
LNDC	Landec Corporation	Major Chemicals	$37.88
E	ENI S.p.A.	Oil & Gas Production	$48.36
ATRS	Antares Pharma, Inc.	Medical/Dental Instruments	$36.49
TPVZ	TriplePoint Venture Growth BDC Corp.	n/a	$22.67
SFS	Smart	Food Chains	$47.67
FBMS	The First Bancshares, Inc.	Major Banks	$49.65
APF	Morgan Stanley Asia-Pacific Fund, Inc.	n/a	$46.41
NAV^D	Navistar International Corporation	Auto Manufacturing	$31.26
HMLP	Hoegh LNG Partners LP	Marine Transportation	$25.91
ISTR	Investar Holding Corporation	Major Banks	$41.15
CDNA	CareDx, Inc.	Medical Specialities	$22.39
CHDN	Churchill Downs, Incorporated	Services-Misc. Amusement & Recreation	$21.74
LTC	LTC Properties, Inc.	Real Estate Investment Trusts	$16.96
BP	BP p.l.c.	Integrated oil Companies	$27.28
LRAD	LRAD Corporation	Consumer Electronics/Appliances	$18.64
RDUS	Radius Health, Inc.	Major Pharmaceuticals	$10.55
SAFT	Safety Insurance Group, Inc.	Property-Casualty Insurers	$40.10
CECO	Career Education Corporation	Other Consumer Services	$11.11
CALI	China Auto Logistics Inc.	Motor Vehicles	$27.57
OHI	Omega Healthcare Investors, Inc.	Real Estate Investment Trusts	$49.02
BGFV	Big 5 Sporting Goods Corporation	Other Specialty Stores	$43.08
SCAC	Saban Capital Acquisition Corp.	Business Services	$22.08
LSXMB	Liberty Media Corporation	Broadcasting	$19.92
SEAC	SeaChange International, Inc.	Radio And Television Broadcasting And Communications Equipment	$46.17
DYNT	Dynatronics Corporation	Biotechnology: Electromedical & Electrotherapeutic Apparatus	$41.71
BAC^I	Bank of America Corporation	n/a	$32.01
HRZN	Horizon Technology Finance Corporation	n/a	$19.15
PRE^I	PartnerRe Ltd.	n/a	$35.17
UCBI	United Community Banks, Inc.	Major Banks	$14.66
TEX	Terex Corporation	Construction/Ag Equipment/Trucks	$36.40
ULTI	The Ultimate Software Group, Inc.	Computer Software: Prepackaged Software	$36.96
LION	Fidelity Southern Corporation	Major Banks	$46.57
DRI	Darden Restaurants, Inc.	Restaurants	$34.70
XTLY	Xactly Corporation	Computer Software: Prepackaged Software	$43.51
HDP	Hortonworks, Inc.	Computer Software: Prepackaged Software	$23.59
DRNA	Dicerna Pharmaceuticals, Inc.	Major Pharmaceuticals	$40.94
ABBV	AbbVie Inc.	Major Pharmaceuticals	$16.10
CB	D/B/A Chubb Limited New	Property-Casualty Insurers	$11.17
BXS	BancorpSouth, Inc.	Major Banks	$45.91
LANC	Lancaster Colony Corporation	Packaged Foods	$27.76
GJT	Synthetic Fixed-Income Securities, Inc.	Finance: Consumer Services	$40.15
ISRG	Intuitive Surgical, Inc.	Industrial Specialties	$37.47
MOG.A	Moog Inc.	n/a	$21.45
MEI	Methode Electronics, Inc.	Electrical Products	$30.06
CHUBA	CommerceHub, Inc.	Computer Software: Prepackaged Software	$41.60
CDNS	Cadence Design Systems, Inc.	Computer Software: Prepackaged Software	$25.71
ALQA	Alliqua BioMedical, Inc.	Medical/Dental Instruments	$49.35
DTE	DTE Energy Company	Electric Utilities: Central	$36.99
IGA	Voya Global Advantage and Premium Opportunity Fund	n/a	$21.16
IX	Orix Corp Ads	Diversified Financial Services	$36.24
SRC	Spirit Realty Capital, Inc.	Building operators	$42.44
PBHC	Pathfinder Bancorp, Inc.	Major Banks	$46.67
CID	VictoryShares International High Div Volatility Wtd ETF	n/a	$28.41
INN^C	Summit Hotel Properties, Inc.	n/a	$19.31
DMPI	DelMar Pharmaceuticals, Inc.	Major Pharmaceuticals	$29.88
EVF	Eaton Vance Senior Income Trust	n/a	$47.13
APA	Apache Corporation	Oil & Gas Production	$18.42
HFC	HollyFrontier Corporation	Integrated oil Companies	$20.72
GGT	Gabelli Multi-Media Trust Inc. (The)	n/a	$15.70
SINO	Sino-Global Shipping America, Ltd.	Oil Refining/Marketing	$47.03
ENIC	Enel Chile S.A.	Electric Utilities: Central	$32.37
PCQ	PIMCO California Municipal Income Fund	n/a	$39.69
IMNP          	Immune Pharmaceuticals Inc.	Major Pharmaceuticals	$24.37
ATI	Allegheny Technologies Incorporated	Steel/Iron Ore	$32.57
ISSC	Innovative Solutions and Support, Inc.	EDP Services	$25.64
PEBK	Peoples Bancorp of North Carolina, Inc.	Major Banks	$39.41
RAS^B	RAIT Financial Trust	n/a	$12.74
ENLK	EnLink Midstream Partners, LP	Natural Gas Distribution	$33.02
PEI^B	Pennsylvania Real Estate Investment Trust	n/a	$33.98
TRST	TrustCo Bank Corp NY	Major Banks	$33.58
JONE	Jones Energy, Inc.	Oil & Gas Production	$41.60
HOMB	Home BancShares, Inc.	Major Banks	$33.96
PEIX	Pacific Ethanol, Inc.	Major Chemicals	$39.41
FTW	First Trust Taiwan AlphaDEX Fund	n/a	$10.14
VUZI	Vuzix Corporation	Radio And Television Broadcasting And Communications Equipment	$36.30
ROSEW	Rosehill Resources Inc.	Oil & Gas Production	$39.90
INVA	Innoviva, Inc.	Major Pharmaceuticals	$49.67
ABCO	The Advisory Board Company	Other Consumer Services	$10.37
MCEP	Mid-Con Energy Partners, LP	Oil & Gas Production	$19.51
SNHNL	Senior Housing Properties Trust	Real Estate Investment Trusts	$38.49
EFR	Eaton Vance Senior Floating-Rate Fund	n/a	$18.55
RGLS	Regulus Therapeutics Inc.	Major Pharmaceuticals	$17.98
PTH	PowerShares DWA Healthcare Momentum Portfolio	n/a	$15.90
PRXL	PAREXEL International Corporation	Biotechnology: Commercial Physical & Biological Resarch	$27.41
SBCP	Sunshine Bancorp, Inc.	Savings Institutions	$20.21
AGR	Avangrid, Inc.	Electric Utilities: Central	$31.79
EXP	Eagle Materials Inc	Building Materials	$26.71
AHC	A.H. Belo Corporation	Newspapers/Magazines	$26.78
QTRH	Quarterhill Inc.	Multi-Sector Companies	$15.46
FNBG	FNB Bancorp	Major Banks	$25.30
MED	MEDIFAST INC	Packaged Foods	$47.15
BMO	Bank Of Montreal	Commercial Banks	$47.92
INXN	InterXion Holding N.V.	Computer Software: Programming, Data Processing	$49.43
GGG	Graco Inc.	Fluid Controls	$34.84
ADRA	BLDRS Asia 50 ADR Index Fund	n/a	$18.21
SRET	Global X SuperDividend REIT ETF	n/a	$43.76
BMA	Macro Bank Inc.	Commercial Banks	$41.84
FEYE	FireEye, Inc.	Computer peripheral equipment	$12.29
MPV	Barings Participation Investors	n/a	$27.83
CUBA	The Herzfeld Caribbean Basin Fund, Inc.	n/a	$24.55
DMB	Dreyfus Municipal Bond Infrastructure Fund, Inc.	n/a	$24.60
SPAN	Span-America Medical Systems, Inc.	Industrial Specialties	$48.68
ORMP	Oramed Pharmaceuticals Inc.	Major Pharmaceuticals	$12.52
MPAA	Motorcar Parts of America, Inc.	Auto Parts:O.E.M.	$29.45
SBNYW	Signature Bank	Major Banks	$23.38
FMS	Fresenius Medical Care Corporation	Hospital/Nursing Management	$22.50
HLG	Hailiang Education Group Inc.	Other Consumer Services	$21.59
DSKEW	Daseke, Inc.	Transportation Services	$40.33
IVR^A	Invesco Mortgage Capital Inc.	n/a	$29.50
PLAY	Dave & Buster's Entertainment, Inc.	Restaurants	$29.72
HAE	Haemonetics Corporation	Medical/Dental Instruments	$46.11
USPH	U.S. Physical Therapy, Inc.	Medical/Nursing Services	$19.42
CORR	CorEnergy Infrastructure Trust, Inc.	Real Estate Investment Trusts	$11.51
ESV	ENSCO plc	Oil & Gas Production	$20.89
AGII	Argo Group International Holdings, Ltd.	Specialty Insurers	$10.76
HIHO	Highway Holdings Limited	Metal Fabrications	$15.66
BIG	Big Lots, Inc.	Department/Specialty Retail Stores	$10.87
CVE	Cenovus Energy Inc	Oil & Gas Production	$46.06
CHGG	Chegg, Inc.	Other Consumer Services	$42.29
HBANN	Huntington Bancshares Incorporated	Major Banks	$15.94
RDY	Dr. Reddy's Laboratories Ltd	Major Pharmaceuticals	$20.81
ROG	Rogers Corporation	Major Chemicals	$42.51
MVC	MVC Capital, Inc.	n/a	$21.59
HTGX	Hercules Capital, Inc.	n/a	$40.50
NAT	Nordic American Tankers Limited	Marine Transportation	$25.43
FYT	First Trust Small Cap Value AlphaDEX Fund	n/a	$24.43
RGS	Regis Corporation	Other Consumer Services	$33.77
UNAM	Unico American Corporation	Property-Casualty Insurers	$10.76
WU	Western Union Company (The)	Business Services	$45.62
GTYHW	GTY Technology Holdings, Inc.	Business Services	$27.04
XPLR	Xplore Technologies Corp	Computer Manufacturing	$23.72
AU	AngloGold Ashanti Limited	Precious Metals	$31.54
JCI	Johnson Controls International plc	Other Consumer Services	$49.86
CBAY	CymaBay Therapeutics Inc.	Major Pharmaceuticals	$33.23
TPVG	TriplePoint Venture Growth BDC Corp.	n/a	$46.92
SCX	L.S. Starrett Company (The)	Industrial Machinery/Components	$44.81
KNOP	KNOT Offshore Partners LP	Marine Transportation	$33.95
JAKK	JAKKS Pacific, Inc.	Recreational Products/Toys	$26.84
CAE	CAE Inc	Industrial Machinery/Components	$27.78
QIWI	QIWI plc	Business Services	$48.47
JBHT	J.B. Hunt Transport Services, Inc.	Trucking Freight/Courier Services	$16.43
GLT	Glatfelter	Paper	$48.92
TRCH	Torchlight Energy Resources, Inc.	Oil & Gas Production	$14.87
LPI	Laredo Petroleum, Inc.	Oil & Gas Production	$43.81
NBHC	National Bank Holdings Corporation	Major Banks	$41.91
MBWM	Mercantile Bank Corporation	Major Banks	$27.25
NXP	Nuveen Select Tax Free Income Portfolio	n/a	$24.27
RVLT	Revolution Lighting Technologies, Inc.	Building Products	$19.30
WABC	Westamerica Bancorporation	Major Banks	$47.39
IIN	IntriCon Corporation	Electrical Products	$29.29
COHU	Cohu, Inc.	Electrical Products	$27.53
ATRC	AtriCure, Inc.	Medical/Dental Instruments	$11.52
AMRN	Amarin Corporation plc	Major Pharmaceuticals	$15.88
TST	TheStreet, Inc.	Newspapers/Magazines	$34.96
